task,dataset,model,device,runtime,precision,cell,metric,Q,chance,latency_ms,param_count,gmacs,source
Image classification,ImageNet-1k,test_byobnet,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.45858,0.001,1.0747141260424726,0.46,0.03,timm
Image classification,ImageNet-1k,test_vit,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.40982,0.001,1.3295927457419792,0.37,0.04,timm
Image classification,ImageNet-1k,test_efficientnet,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.46506,0.001,1.5454278517007431,0.36,0.06,timm
Image classification,ImageNet-1k,mobilenetv3_small_075,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.6528400000000001,0.001,2.541296060991105,2.04,0.05,timm
Image classification,ImageNet-1k,mobilenetv3_small_050,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.57918,0.001,2.603895427559629,1.59,0.03,timm
Image classification,ImageNet-1k,tf_mobilenetv3_small_minimal_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.62892,0.001,2.6362965306337656,2.04,0.06,timm
Image classification,ImageNet-1k,tinynet_e,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.59874,0.001,2.6551257202028515,2.04,0.03,timm
Image classification,ImageNet-1k,mobilenetv3_small_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.67636,0.001,2.673296441842436,2.54,0.06,timm
Image classification,ImageNet-1k,lcnet_075,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.68786,0.001,2.675943270002676,2.36,0.1,timm
Image classification,ImageNet-1k,lcnet_050,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.6313799999999999,0.001,2.74228048044754,1.88,0.05,timm
Image classification,ImageNet-1k,tf_mobilenetv3_small_100,CPU i7-12700H,PyTorch 2.4.0 compile,fp32,timm | CPU i7-12700H | PyTorch 2.4.0 compile | fp32,top1,0.6792199999999999,0.001,3.098565364236358,2.54,0.06,timm
