task,dataset,model,device,runtime,precision,cell,metric,Q,chance,latency_ms,param_count,gmacs,source
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,249.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,254.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,258.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,264.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,267.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,268.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,271.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,273.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,274.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,275.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,277.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,278.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,280.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,285.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,288.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,303.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,308.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,313.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float32,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,316.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,323.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,325.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,328.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.039,0.0,331.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,407.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,413.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,417.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,423.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,424.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,bfloat16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,429.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,430.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,436.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,437.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,438.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float32,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,441.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,EleutherAI/gpt-neo-125m,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0438,0.0,442.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,445.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,448.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,449.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,457.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,458.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,EleutherAI/gpt-neo-125m,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0438,0.0,460.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,461.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0651,0.0,463.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,EleutherAI/gpt-neo-125m,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0438,0.0,464.0,0,,llm-perf-leaderboard
LLM inference,Open LLM Leaderboard,EleutherAI/gpt-neo-125m,1xA10,pytorch,float16,llm-perf | Open LLM | 1xA10,Open LLM score,0.0438,0.0,465.0,0,,llm-perf-leaderboard
