task,dataset,model,device,runtime,precision,cell,metric,Q,chance,latency_ms,param_count,gmacs,source
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,249.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,249.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,249.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,249.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,249.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,249.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,254.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,254.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,254.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,254.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,254.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,254.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,258.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,258.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,258.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,258.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,258.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,258.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,264.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,264.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,264.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,264.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,264.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,264.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,267.0,0,,llm-perf-task
