suite,model,key,task,harness_task,chance,shots,step,train_tokens,params,nonemb,acc
BLOOM,bloom-560m,560m,ARC-Challenge,arc_challenge,0.25,0,0,,559000000.0,,0.22099
BLOOM,bloom-1b1,1b1,ARC-Challenge,arc_challenge,0.25,0,0,,1065000000.0,,0.236348
BLOOM,bloom-1b7,1b7,ARC-Challenge,arc_challenge,0.25,0,0,,1722000000.0,,0.238055
BLOOM,bloom-3b,3b,ARC-Challenge,arc_challenge,0.25,0,0,,3003000000.0,,0.279863
BLOOM,bloom-7b1,7b1,ARC-Challenge,arc_challenge,0.25,0,0,,7069000000.0,,0.302901
BLOOM,bloom-560m,560m,ARC-Easy,arc_easy,0.25,0,0,,559000000.0,,0.475589
BLOOM,bloom-1b1,1b1,ARC-Easy,arc_easy,0.25,0,0,,1065000000.0,,0.514731
BLOOM,bloom-1b7,1b7,ARC-Easy,arc_easy,0.25,0,0,,1722000000.0,,0.561869
BLOOM,bloom-3b,3b,ARC-Easy,arc_easy,0.25,0,0,,3003000000.0,,0.593855
BLOOM,bloom-7b1,7b1,ARC-Easy,arc_easy,0.25,0,0,,7069000000.0,,0.649832
BLOOM,bloom-560m,560m,LAMBADA,lambada_openai,0.0,0,0,,559000000.0,,0.340966
BLOOM,bloom-1b1,1b1,LAMBADA,lambada_openai,0.0,0,0,,1065000000.0,,0.425771
BLOOM,bloom-1b7,1b7,LAMBADA,lambada_openai,0.0,0,0,,1722000000.0,,0.462255
BLOOM,bloom-3b,3b,LAMBADA,lambada_openai,0.0,0,0,,3003000000.0,,0.517951
BLOOM,bloom-7b1,7b1,LAMBADA,lambada_openai,0.0,0,0,,7069000000.0,,0.576169
BLOOM,bloom-560m,560m,LogiQA,logiqa,0.25,0,0,,559000000.0,,0.21659
BLOOM,bloom-1b1,1b1,LogiQA,logiqa,0.25,0,0,,1065000000.0,,0.18894
BLOOM,bloom-1b7,1b7,LogiQA,logiqa,0.25,0,0,,1722000000.0,,0.21659
BLOOM,bloom-3b,3b,LogiQA,logiqa,0.25,0,0,,3003000000.0,,0.205837
BLOOM,bloom-7b1,7b1,LogiQA,logiqa,0.25,0,0,,7069000000.0,,0.202765
BLOOM,bloom-560m,560m,PIQA,piqa,0.5,0,0,,559000000.0,,0.636561
BLOOM,bloom-1b1,1b1,PIQA,piqa,0.5,0,0,,1065000000.0,,0.671926
BLOOM,bloom-1b7,1b7,PIQA,piqa,0.5,0,0,,1722000000.0,,0.685528
BLOOM,bloom-3b,3b,PIQA,piqa,0.5,0,0,,3003000000.0,,0.707835
BLOOM,bloom-7b1,7b1,PIQA,piqa,0.5,0,0,,7069000000.0,,0.726333
BLOOM,bloom-560m,560m,SciQ,sciq,0.25,0,0,,559000000.0,,0.804
BLOOM,bloom-1b1,1b1,SciQ,sciq,0.25,0,0,,1065000000.0,,0.833
BLOOM,bloom-1b7,1b7,SciQ,sciq,0.25,0,0,,1722000000.0,,0.851
BLOOM,bloom-3b,3b,SciQ,sciq,0.25,0,0,,3003000000.0,,0.891
BLOOM,bloom-7b1,7b1,SciQ,sciq,0.25,0,0,,7069000000.0,,0.9
BLOOM,bloom-560m,560m,WSC,wsc,0.5,0,0,,559000000.0,,0.442308
BLOOM,bloom-1b1,1b1,WSC,wsc,0.5,0,0,,1065000000.0,,0.365385
BLOOM,bloom-1b7,1b7,WSC,wsc,0.5,0,0,,1722000000.0,,0.365385
BLOOM,bloom-3b,3b,WSC,wsc,0.5,0,0,,3003000000.0,,0.375
BLOOM,bloom-7b1,7b1,WSC,wsc,0.5,0,0,,7069000000.0,,0.365385
BLOOM,bloom-560m,560m,Winogrande,winogrande,0.5,0,0,,559000000.0,,0.504341
BLOOM,bloom-1b1,1b1,Winogrande,winogrande,0.5,0,0,,1065000000.0,,0.546961
BLOOM,bloom-1b7,1b7,Winogrande,winogrande,0.5,0,0,,1722000000.0,,0.572218
BLOOM,bloom-3b,3b,Winogrande,winogrande,0.5,0,0,,3003000000.0,,0.586425
BLOOM,bloom-7b1,7b1,Winogrande,winogrande,0.5,0,0,,7069000000.0,,0.644041
OPT,opt-125m,125m,ARC-Challenge,arc_challenge,0.25,0,143000,299892736000,125000000.0,,0.18942
OPT,opt-350m,350m,ARC-Challenge,arc_challenge,0.25,0,143000,299892736000,350000000.0,,0.207338
OPT,opt-1.3b,1.3b,ARC-Challenge,arc_challenge,0.25,0,143000,299892736000,1300000000.0,,0.231229
OPT,opt-2.7b,2.7b,ARC-Challenge,arc_challenge,0.25,0,143000,299892736000,2700000000.0,,0.267918
OPT,opt-6.7b,6.7b,ARC-Challenge,arc_challenge,0.25,0,143000,299892736000,6700000000.0,,0.305461
OPT,opt-13b,13b,ARC-Challenge,arc_challenge,0.25,0,143000,299892736000,13000000000.0,,0.329352
OPT,opt-30b,30b,ARC-Challenge,arc_challenge,0.25,0,143000,299892736000,30000000000.0,,0.346416
OPT,opt-66b,66b,ARC-Challenge,arc_challenge,0.25,0,143000,299892736000,66000000000.0,,0.372014
