report,cell,unit,team,psnr,runtime_ms,official_score,official_rank
MAI2022-SR,MAI2022-SR-NPU,NPU,Z6,30.03,19.2,22.22,1
MAI2022-SR,MAI2022-SR-NPU,NPU,TCLResearchEurope,29.88,15.9,21.84,2
MAI2022-SR,MAI2022-SR-NPU,NPU,ECNUSR,29.82,15.1,21.08,3
MAI2022-SR,MAI2022-SR-NPU,NPU,LCVG,29.76,15.0,19.59,4
MAI2022-SR,MAI2022-SR-NPU,NPU,BOE-IOT-AIBD,29.80,16.1,19.27,5
MAI2022-SR,MAI2022-SR-NPU,NPU,NJUST,29.76,15.8,18.56,6
MAI2022-SR,MAI2022-SR-NPU,NPU,Antins_cv,29.58,15.2,15.02,7
MAI2022-SR,MAI2022-SR-NPU,NPU,GenMedia_Group,29.90,25.6,13.91,8
MAI2022-SR,MAI2022-SR-NPU,NPU,Vccip,29.98,30.5,13.07,9
MAI2022-SR,MAI2022-SR-NPU,NPU,MegSR,29.94,29.8,12.65,10
MAI2022-SR,MAI2022-SR-NPU,NPU,DoubleZ,29.94,30.1,12.54,11
MAI2022-SR,MAI2022-SR-NPU,NPU,Jeremy_Kwon,29.80,25.7,12.09,12
MAI2022-SR,MAI2022-SR-NPU,NPU,Lab216,29.94,31.8,11.85,13
MAI2022-SR,MAI2022-SR-NPU,NPU,TOVB,30.01,43.3,9.60,14
MAI2022-SR,MAI2022-SR-NPU,NPU,ABPN_baseline,29.87,36.9,9.27,15
MAI2022-SR,MAI2022-SR-NPU,NPU,Samsung_Research,29.95,43.2,8.84,16
MAI2022-SR,MAI2022-SR-NPU,NPU,Rtsisr2022,30.00,46.4,8.83,17
MAI2022-SR,MAI2022-SR-NPU,NPU,Aselsan_Research,29.67,30.2,8.59,18
MAI2022-SR,MAI2022-SR-NPU,NPU,Klab_SR,29.88,43.1,8.05,19
MAI2022-SR,MAI2022-SR-NPU,NPU,TCL_Research_HK,30.10,60.2,7.81,20
MAI2022-SR,MAI2022-SR-NPU,NPU,RepGSR,30.06,61.3,7.26,21
MAI2022-SR,MAI2022-SR-NPU,NPU,ICL,29.76,43.2,6.79,22
MAI2022-SR,MAI2022-SR-NPU,NPU,Just_A_try,29.75,42.9,6.76,23
MAI2022-SR,MAI2022-SR-NPU,NPU,Bilibili_AI,29.99,68.2,5.92,24
MAI2022-SR,MAI2022-SR-NPU,NPU,MobileSR,30.02,72.4,5.82,25
MAI2022-SR,MAI2022-SR-CPU,CPU,Z6,30.03,809,,
MAI2022-SR,MAI2022-SR-CPU,CPU,TCLResearchEurope,29.88,824,,
MAI2022-SR,MAI2022-SR-CPU,CPU,ECNUSR,29.82,553,,
MAI2022-SR,MAI2022-SR-CPU,CPU,LCVG,29.76,787,,
MAI2022-SR,MAI2022-SR-CPU,CPU,BOE-IOT-AIBD,29.80,877,,
MAI2022-SR,MAI2022-SR-CPU,CPU,NJUST,29.76,767,,
MAI2022-SR,MAI2022-SR-CPU,CPU,Antins_cv,29.58,543,,
MAI2022-SR,MAI2022-SR-CPU,CPU,GenMedia_Group,29.90,855,,
MAI2022-SR,MAI2022-SR-CPU,CPU,Vccip,29.98,1042,,
MAI2022-SR,MAI2022-SR-CPU,CPU,MegSR,29.94,965,,
MAI2022-SR,MAI2022-SR-CPU,CPU,DoubleZ,29.94,990,,
MAI2022-SR,MAI2022-SR-CPU,CPU,Jeremy_Kwon,29.80,782,,
MAI2022-SR,MAI2022-SR-CPU,CPU,Lab216,29.94,1110,,
MAI2022-SR,MAI2022-SR-CPU,CPU,TOVB,30.01,950,,
MAI2022-SR,MAI2022-SR-CPU,CPU,ABPN_baseline,29.87,998,,
MAI2022-SR,MAI2022-SR-CPU,CPU,Samsung_Research,29.95,941,,
MAI2022-SR,MAI2022-SR-CPU,CPU,Rtsisr2022,30.00,977,,
MAI2022-SR,MAI2022-SR-CPU,CPU,Aselsan_Research,29.67,598,,
MAI2022-SR,MAI2022-SR-CPU,CPU,Klab_SR,29.88,850,,
MAI2022-SR,MAI2022-SR-CPU,CPU,TCL_Research_HK,30.10,1772,,
MAI2022-SR,MAI2022-SR-CPU,CPU,RepGSR,30.06,1679,,
MAI2022-SR,MAI2022-SR-CPU,CPU,ICL,29.76,949,,
MAI2022-SR,MAI2022-SR-CPU,CPU,Just_A_try,29.75,766,,
MAI2022-SR,MAI2022-SR-CPU,CPU,Bilibili_AI,29.99,1075,,
MAI2022-SR,MAI2022-SR-CPU,CPU,MobileSR,30.02,1057,,
MAI2021-SR,MAI2021-SR-NPU,NPU,MCG,29.87,36.89,92.72,1
MAI2021-SR,MAI2021-SR-NPU,NPU,Aselsan_Research,29.58,44.85,51.02,2
MAI2021-SR,MAI2021-SR-NPU,NPU,Noah_TerminalVision,29.41,38.32,47.18,3
MAI2021-SR,MAI2021-SR-NPU,NPU,ALONG,29.52,62.25,33.82,4
MAI2021-SR,MAI2021-SR-NPU,NPU,EmbededAI,28.82,76.61,10.41,5
MAI2021-SR,MAI2021-SR-NPU,NPU,mju_gogogo,28.92,718,1.28,6
MAI2021-SR,MAI2021-SR-NPU,NPU,221B,25.44,238.43,0.03,7
MAI2021-SR,MAI2021-SR-NPU,NPU,CVML,19.50,90.20,0.00,8
MAI2021-SR,MAI2021-SR-NPU,NPU,svnit_ntnu,19.30,78.84,0.00,9
MAI2021-SR,MAI2021-SR-NPU,NPU,TieGuoDun,16.19,913.96,0.00,10
MAI2021-SR,MAI2021-SR-CPU,CPU,MCG,29.87,998,,
MAI2021-SR,MAI2021-SR-CPU,CPU,Aselsan_Research,29.58,1278,,
MAI2021-SR,MAI2021-SR-CPU,CPU,Noah_TerminalVision,29.41,668,,
MAI2021-SR,MAI2021-SR-CPU,CPU,ALONG,29.52,951,,
MAI2021-SR,MAI2021-SR-CPU,CPU,EmbededAI,28.82,1224,,
MAI2021-SR,MAI2021-SR-CPU,CPU,CVML,19.50,1772,,
MAI2021-SR,MAI2021-SR-CPU,CPU,svnit_ntnu,19.30,1947,,
