family,task,n_sizes,n_front,eps_inf,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,S_range,x_range,d_aicc,status
eleutherai/pythia,HellaSwag,7,7,0.198216,0.3099,0.155,0.115,0.4139,0.0882,0.9821,0.804,4.031,-5.57,identified
facebook/opt,ARC-Challenge,6,6,0.621794,0.2774,0.1387,0.0286,0.6043,0.132,0.9743,0.272,3.927,-8.06,identified
facebook/opt,HellaSwag,6,6,0.295965,0.5936,0.2968,0.0584,0.5367,0.105,0.9915,0.649,3.927,-0.33,identified
qwen/qwen1.5,HellaSwag,8,8,0.075158,0.3831,0.1916,0.1565,0.3675,0.0671,0.9907,1.404,5.189,-2.65,identified
qwen/qwen1.5,IFEval,7,7,0.473246,0.1348,0.0674,0.026,0.2068,0.0507,0.9892,0.232,5.189,-4.11,identified
qwen/qwen2.5,IFEval,7,7,0.444844,0.2139,0.107,0.0379,0.3035,0.065,0.9774,0.356,4.98,-4.37,identified
eleutherai/pythia,ARC-Challenge,6,5,,,,,,,,0.209,2.473,,excluded: front shorter than six points
eleutherai/pythia,BBH,7,5,,,,,,,,0.038,3.478,,excluded: front shorter than six points
eleutherai/pythia,GSM8K,7,5,,,,,,,,0.015,4.031,,excluded: front shorter than six points
eleutherai/pythia,IFEval,7,5,,,,,,,,0.084,4.031,,excluded: front shorter than six points
eleutherai/pythia,MATH Lvl 5,7,4,,,,,,,,0.008,4.031,,excluded: front shorter than six points
eleutherai/pythia,MMLU-PRO,7,5,,,,,,,,0.003,3.478,,excluded: front shorter than six points
eleutherai/pythia,MuSR,7,1,,,,,,,,,,,excluded: front shorter than six points
eleutherai/pythia,Winogrande,7,6,0.0,0.1001,0.05,,,,0.9381,0.317,3.338,,excluded: floor at boundary (degenerate)
facebook/opt,GSM8K,6,5,,,,,,,,0.021,3.139,,excluded: front shorter than six points
facebook/opt,Winogrande,6,5,,,,,,,,0.315,3.139,,excluded: front shorter than six points
qwen/qwen1.5,ARC-Challenge,8,8,0.0,0.1581,0.079,,,,0.9865,0.825,5.189,,excluded: floor at boundary (degenerate)
qwen/qwen1.5,BBH,7,7,0.0,0.108,0.054,,,,0.9665,0.533,5.189,,excluded: floor at boundary (degenerate)
qwen/qwen1.5,GPQA,7,4,,,,,,,,0.141,5.189,,excluded: front shorter than six points
qwen/qwen1.5,GSM8K,8,6,0.0,0.2806,0.1403,,,,0.98,1.485,5.189,,excluded: floor at boundary (degenerate)
qwen/qwen1.5,MATH Lvl 5,7,6,0.0,0.0773,0.0387,,,,0.7954,0.343,3.96,,excluded: floor at boundary (degenerate)
qwen/qwen1.5,MMLU,8,8,0.0,0.2148,0.1074,,,,0.9838,1.119,5.189,,excluded: floor at boundary (degenerate)
qwen/qwen1.5,MMLU-PRO,7,7,0.0,0.1168,0.0584,,,,0.9629,0.628,5.189,,excluded: floor at boundary (degenerate)
qwen/qwen1.5,MuSR,7,6,0.0,0.0221,0.011,,,,0.8933,0.103,5.189,,excluded: floor at boundary (degenerate)
qwen/qwen1.5,Winogrande,8,8,0.0,0.1936,0.0968,,,,0.958,0.992,5.189,,excluded: floor at boundary (degenerate)
qwen/qwen2.5,BBH,7,7,0.0,0.1559,0.0779,,,,0.9766,0.718,4.98,,excluded: floor at boundary (degenerate)
qwen/qwen2.5,GPQA,6,5,,,,,,,,0.195,3.084,,excluded: front shorter than six points
qwen/qwen2.5,MATH Lvl 5,7,7,0.0,0.0965,0.0483,,,,0.9812,0.456,4.98,,excluded: floor at boundary (degenerate)
qwen/qwen2.5,MMLU-PRO,7,7,0.0,0.15,0.075,,,,0.9718,0.697,4.98,,excluded: floor at boundary (degenerate)
qwen/qwen2.5,MuSR,7,6,0.0,0.0536,0.0268,,,,0.9605,0.236,4.182,,excluded: floor at boundary (degenerate)
