cell,n,rss_sat,rss_pow,aicc_sat,aicc_pow,d_aicc,weight,d_bic,alpha_pow
RTX Pro 6000 / compile bf16,36,0.019099366546462025,0.045739369332920825,-264.7482857295241,-235.69569704927179,29.05258868025234,0.9999995087412348,27.85543337815986,0.32734119662541067
RTX Pro 6000 / eager amp-fp16,36,0.017105352439465392,0.053740439318302906,-268.7177806110214,-229.89226745475037,38.82551315627103,0.9999999962919384,37.628357854178546,0.3854304332206702
CPU i7-12700H / compile fp32,41,0.013458851656684426,0.05880230408917639,-322.2406553062415,-264.11720908705564,58.12344621918584,0.9999999999997609,56.74273332744593,0.30576760811316384
RTX 3090 / eager amp-fp16,37,0.008135539511748127,0.04692324505557011,-304.90267920604435,-242.4429791482217,62.45970005782266,0.9999999999999727,61.22311369598063,0.3610676564411385
RTX 4090 / eager amp-fp16,33,0.022981114345193978,0.06838025744952465,-233.06888634221295,-199.51289681163735,33.5559895305756,0.9999999483096547,32.487068176005664,0.38063143044766484
RTX 5090 / eager amp-fp16,34,0.013191762628535199,0.061768004968313285,-260.25378921122393,-210.1777331591349,50.07605605208903,0.9999999999866303,48.96259875327934,0.36888478541183656
RTX 4090 / compile amp-fp16,40,0.027154897215256546,0.08011346034868987,-285.1364264025103,-244.20330962913079,40.93311677337954,0.9999999987073331,39.58657966160797,0.37553788979959773
RTX 5090 / compile amp-fp16,42,0.015747537857799723,0.08027286494375938,-324.6955376221588,-258.6120243779568,66.08351324420198,0.9999999999999956,64.66973026559472,0.37184357002582147
CPU ONNX / Oriented detection,6,4.717038652313155e-06,4.6848735473996595e-05,-66.336532971997,-62.56207605893243,3.7744569130645687,0.8684391978562459,11.982697443836514,0.05594582521960874
CPU ONNX / Pose estimation,6,5.385237812730099e-05,0.005798496565373891,-51.72614077498906,-33.651496462755105,18.074644312233957,0.999881125356711,26.282884843005903,0.14702806900941875
CPU i9-10940X / compile fp32,36,0.00910257535813679,0.06810386909005928,-291.42780615235944,-221.36501051469213,70.0627956376673,0.9999999999999993,68.86564033557482,0.4770096655740756
CPU ONNX / Object detection,7,0.00011386987428799988,0.004593285458394542,-63.184550549354284,-44.30348911712582,18.881061432228464,0.9999205680717244,23.93515128317315,0.08322956562835132
