label,group,n_front,n,sigma,alpha,lam,bias,bias_se,lam_corrected
RTX 5090 / compile,primary,42,1193,0.13292034156304552,0.7171606375931951,0.3585803187965976,0.10658581443482484,0.01844866000481251,0.3240420346249767
CPU i7-12700H / compile,primary,41,1091,0.13469129950402497,0.6546466313744996,0.3273233156872498,0.12161773632745554,0.019621367769618175,0.29183143693769836
RTX 4090 / compile,primary,40,1191,0.13037326891915274,0.6879105368449437,0.34395526842247187,0.11161264107837665,0.017179611482838072,0.30942007648347764
RTX 3090 / eager,primary,37,1091,0.1294849884475857,0.6568889520499371,0.32844447602496857,0.1182741039035311,0.0212807963384583,0.29370659204078475
CPU i9-10940X / compile,primary,36,1086,0.1433143443127101,0.9506222127715489,0.47531110638577445,0.11459024040956489,0.027567123166956375,0.4264447051062619
RTX Pro 6000 / compile,primary,36,1187,0.12667334919157075,0.537826141628659,0.2689130708143295,0.116338195659343,0.021290236741363967,0.24088853347484124
RTX Pro 6000 / eager,primary,36,1193,0.1314992389438539,0.6477975815042271,0.32389879075211353,0.1209771356671332,0.026425672752988644,0.28894326248621466
RTX 5090 / eager,primary,34,1193,0.1332343453126847,0.6876440715553935,0.34382203577769677,0.16493565040940705,0.025072412378736808,0.2951425133713294
RTX 4090 / eager,primary,33,1193,0.13506142672854746,0.6875845677345374,0.3437922838672687,0.11071824755658533,0.0182462516167934,0.30952249557757827
ADE20K / V100 / semantic,out-of-domain,19,114,0.06006692438745782,1.0777170748558362,0.5388585374279181,-0.09845319675512554,0.033194843602832855,0.597704451381162
COCO / V100 / object,out-of-domain,12,160,0.05465571462634753,0.418186936607027,0.2090934683035135,1.097447259671665,0.11706954418804894,0.09968949986196318
Cityscapes / V100 / semantic,out-of-domain,12,156,0.10383476507780504,0.39826248248008994,0.19913124124004497,2.682481843593486,0.68994347889644,0.054075281209187503
COCO / V100 / instance,out-of-domain,9,58,0.018457874910547567,1.082231387978807,0.5411156939894035,0.08957814214235738,0.05981844107379941,0.4966286244742828
ADE20K / A100 / semantic,out-of-domain,9,11,0.019585639993437577,0.7759976229041664,0.3879988114520832,0.05958423984857131,0.08580548945539428,0.3661802401926376
Cityscapes / A100 / semantic,out-of-domain,8,12,0.13859014637273123,0.7181909589924179,0.35909547949620896,2.3624763759149046,0.97552497019831,0.10679494496032013
CPU ONNX / Object detection,primary,7,20,0.059454044456034215,1.0523417403943183,0.5261708701971591,-0.12470840835719355,0.09720577269213636,0.6011378096407919
LLM / 1xA100,out-of-domain,7,284,0.07633651993858498,0.14499177867810226,0.07249588933905113,3.133219504668449,0.5553564657027239,0.017539811098144537
Pascal VOC 2012 + Aug / V100 / semantic,out-of-domain,7,30,0.077677827122782,2.2215340510298085,1.1107670255149042,-0.1290248805810399,0.06056024119770029,1.2753143008906072
CPU ONNX / Pose estimation,primary,6,11,0.08800387118696915,0.8890232429336755,0.44451162146683776,0.05596166708636319,0.10428750519439242,0.420954316166936
CPU ONNX / Oriented detection,primary,6,10,0.02501777957734615,0.7189893127664868,0.3594946563832434,0.378196420673512,0.1578843518030116,0.26084428241916463
COCO-Stuff 164k / V100 / semantic,out-of-domain,6,7,0.00901655859323568,0.724070950628399,0.3620354753141995,0.06908792292486532,0.08649181126572113,0.33863957075085493
"ASR / English, long-form",out-of-domain,6,23,0.2712296746480734,2.9103824427988125,1.4551912213994063,-0.8681390611969507,0.016071611815001448,11.035802070034672
