name,kind,dropped,n,S_max,eps_inf,lam,R2,d_aicc,identified
Pythia v0 deduped pythia-1.4b / ARC-Easy,LLM ladder,0,13,0.5858,0.422347,0.1362,0.9795,1.76,True
Pythia v0 deduped pythia-1.4b / ARC-Easy,LLM ladder,1,12,0.5797,0.43243,0.1417,0.9783,1.0,True
Pythia v0 deduped pythia-1.4b / ARC-Easy,LLM ladder,2,11,0.5787,0.445874,0.1497,0.9769,0.2,True
Pythia v0 deduped pythia-1.4b / ARC-Easy,LLM ladder,3,10,0.5638,0.482826,0.1767,0.9778,0.86,True
Pythia v0 deduped pythia-1.4b / ARC-Easy,LLM ladder,4,9,0.5599,0.516067,0.2109,0.9788,1.18,True
Pythia v0 deduped pythia-1.4b / ARC-Easy,LLM ladder,5,8,0.5195,0.561154,0.2844,0.991,7.39,True
Pythia v0 deduped pythia-1.4b / ARC-Easy,LLM ladder,6,7,0.5073,0.577815,0.3264,0.9934,6.94,True
Pythia v0 deduped pythia-1.4b / ARC-Easy,LLM ladder,7,6,0.4861,0.596022,0.3887,0.9971,7.26,True
Pythia v0 deduped pythia-1.4b / LAMBADA,LLM ladder,0,9,0.9048,0.371721,0.2848,0.9922,12.38,True
Pythia v0 deduped pythia-1.4b / LAMBADA,LLM ladder,1,8,0.8695,0.383085,0.3038,0.9932,10.98,True
Pythia v0 deduped pythia-1.4b / LAMBADA,LLM ladder,2,7,0.8529,0.388125,0.3127,0.9928,6.65,True
Pythia v0 deduped pythia-1.4b / LAMBADA,LLM ladder,3,6,0.8525,0.393914,0.3233,0.9923,0.52,True
Pythia v0 deduped pythia-1.4b / PIQA,LLM ladder,0,14,0.6027,0.360208,0.1113,0.9938,4.97,True
Pythia v0 deduped pythia-1.4b / PIQA,LLM ladder,1,13,0.5889,0.391334,0.1231,0.9949,7.41,True
Pythia v0 deduped pythia-1.4b / PIQA,LLM ladder,2,12,0.585,0.413775,0.1333,0.9954,8.6,True
Pythia v0 deduped pythia-1.4b / PIQA,LLM ladder,3,11,0.5637,0.44578,0.1508,0.9974,14.34,True
