label,family,device,precision,task,benchmark_class,n_sizes,n_front,eps_min,eps_inf,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,S_range,x_range,d_aicc,status
qwen1.5 | 1xA10 | float16 | ARC-Challenge,qwen/qwen1.5,1xA10,float16,ARC-Challenge,retired,6,6,0.48687,0.342261,0.3933,0.1966,0.1083,0.3478,0.0606,0.9953,0.629,3.347,-3.91,identified
qwen1.5 | 1xA10 | float16 | HellaSwag,qwen/qwen1.5,1xA10,float16,HellaSwag,retired,6,6,0.2,0.165908,0.7539,0.3769,0.2451,0.5161,0.0671,0.9955,1.223,3.347,-0.13,identified
qwen1.5 | 1xA10 | float16 | IFEval,qwen/qwen1.5,1xA10,float16,IFEval,headroom,6,6,0.67027,0.515465,0.1959,0.098,0.026,0.5436,0.1369,0.9831,0.213,3.347,-8.8,identified
qwen1.5 | 1xA10 | float16 | MMLU,qwen/qwen1.5,1xA10,float16,MMLU,retired,6,6,0.3426,0.057016,0.2914,0.1457,0.1324,0.242,0.0285,0.9976,0.859,3.347,-9.52,identified
qwen1.5 | 1xA100 | float16 | ARC-Challenge,qwen/qwen1.5,1xA100,float16,ARC-Challenge,retired,7,7,0.4004,0.39507,0.854,0.427,0.1676,1.0269,0.2234,0.9656,0.825,3.397,-0.44,identified
qwen1.5 | 1xA100 | float16 | BBH,qwen/qwen1.5,1xA100,float16,BBH,headroom,7,7,0.55719,0.483826,0.5487,0.2743,0.1345,0.4599,0.0777,0.9861,0.533,3.397,1.31,identified
qwen1.5 | 1xA100 | float16 | GSM8K,qwen/qwen1.5,1xA100,float16,GSM8K,retired,7,6,0.1895,0.177057,1.0522,0.5261,0.3548,3.5864,0.6452,0.9444,1.485,3.397,-6.62,identified
qwen1.5 | 1xA100 | float16 | HellaSwag,qwen/qwen1.5,1xA100,float16,HellaSwag,retired,7,7,0.16693,0.166766,1.438,0.719,0.4384,1.2288,0.4191,0.9289,1.404,3.397,-1.29,identified
qwen1.5 | 1xA100 | float16 | IFEval,qwen/qwen1.5,1xA100,float16,IFEval,headroom,7,7,0.65781,0.64463,0.7693,0.3847,0.1249,0.6413,0.1291,0.9526,0.232,3.397,0.52,identified
qwen1.5 | 1xA100 | float16 | MMLU,qwen/qwen1.5,1xA100,float16,MMLU,retired,7,7,0.264,0.246329,0.8562,0.4281,0.2921,0.6305,0.0898,0.9777,1.119,3.397,0.04,identified
qwen1.5 | 1xA100 | float16 | MMLU-PRO,qwen/qwen1.5,1xA100,float16,MMLU-PRO,headroom,7,7,0.51548,0.353941,0.3753,0.1877,0.104,0.3121,0.0559,0.9864,0.628,3.397,-3.72,identified
qwen1.5 | 1xA100 | float16 | MuSR,qwen/qwen1.5,1xA100,float16,MuSR,headroom,7,6,0.86294,0.844864,0.5639,0.2819,0.0342,1.9114,0.4641,0.9072,0.103,3.397,-6.91,identified
qwen1.5 | 1xA100 | float16 | Winogrande,qwen/qwen1.5,1xA100,float16,Winogrande,retired,7,7,0.3172,0.243965,0.626,0.313,0.1922,0.6914,0.1411,0.9793,0.992,3.397,-2.62,identified
decilm | 1xA10 | bfloat16 | ARC-Challenge,deci/decilm,1xA10,bfloat16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | bfloat16 | BBH,deci/decilm,1xA10,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | bfloat16 | GPQA,deci/decilm,1xA10,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | bfloat16 | GSM8K,deci/decilm,1xA10,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | bfloat16 | HellaSwag,deci/decilm,1xA10,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | bfloat16 | IFEval,deci/decilm,1xA10,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | bfloat16 | MATH Lvl 5,deci/decilm,1xA10,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | bfloat16 | MMLU,deci/decilm,1xA10,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | bfloat16 | MMLU-PRO,deci/decilm,1xA10,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | bfloat16 | MuSR,deci/decilm,1xA10,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | bfloat16 | Winogrande,deci/decilm,1xA10,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | float16 | ARC-Challenge,deci/decilm,1xA10,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | float16 | BBH,deci/decilm,1xA10,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | float16 | GPQA,deci/decilm,1xA10,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | float16 | GSM8K,deci/decilm,1xA10,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | float16 | HellaSwag,deci/decilm,1xA10,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | float16 | IFEval,deci/decilm,1xA10,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | float16 | MATH Lvl 5,deci/decilm,1xA10,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | float16 | MMLU,deci/decilm,1xA10,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | float16 | MMLU-PRO,deci/decilm,1xA10,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | float16 | MuSR,deci/decilm,1xA10,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA10 | float16 | Winogrande,deci/decilm,1xA10,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | bfloat16 | ARC-Challenge,deci/decilm,1xA100,bfloat16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | bfloat16 | BBH,deci/decilm,1xA100,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | bfloat16 | GPQA,deci/decilm,1xA100,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | bfloat16 | GSM8K,deci/decilm,1xA100,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | bfloat16 | HellaSwag,deci/decilm,1xA100,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | bfloat16 | IFEval,deci/decilm,1xA100,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | bfloat16 | MATH Lvl 5,deci/decilm,1xA100,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | bfloat16 | MMLU,deci/decilm,1xA100,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | bfloat16 | MMLU-PRO,deci/decilm,1xA100,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | bfloat16 | MuSR,deci/decilm,1xA100,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | bfloat16 | Winogrande,deci/decilm,1xA100,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float16 | ARC-Challenge,deci/decilm,1xA100,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float16 | BBH,deci/decilm,1xA100,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float16 | GPQA,deci/decilm,1xA100,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float16 | GSM8K,deci/decilm,1xA100,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float16 | HellaSwag,deci/decilm,1xA100,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float16 | IFEval,deci/decilm,1xA100,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float16 | MATH Lvl 5,deci/decilm,1xA100,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float16 | MMLU,deci/decilm,1xA100,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float16 | MMLU-PRO,deci/decilm,1xA100,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float16 | MuSR,deci/decilm,1xA100,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float16 | Winogrande,deci/decilm,1xA100,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float32 | ARC-Challenge,deci/decilm,1xA100,float32,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float32 | BBH,deci/decilm,1xA100,float32,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float32 | GPQA,deci/decilm,1xA100,float32,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float32 | GSM8K,deci/decilm,1xA100,float32,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float32 | HellaSwag,deci/decilm,1xA100,float32,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float32 | IFEval,deci/decilm,1xA100,float32,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float32 | MATH Lvl 5,deci/decilm,1xA100,float32,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float32 | MMLU,deci/decilm,1xA100,float32,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float32 | MMLU-PRO,deci/decilm,1xA100,float32,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float32 | MuSR,deci/decilm,1xA100,float32,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xA100 | float32 | Winogrande,deci/decilm,1xA100,float32,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xT4 | bfloat16 | ARC-Challenge,deci/decilm,1xT4,bfloat16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xT4 | bfloat16 | BBH,deci/decilm,1xT4,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xT4 | bfloat16 | GPQA,deci/decilm,1xT4,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
decilm | 1xT4 | bfloat16 | GSM8K,deci/decilm,1xT4,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
