cell,n_front,eps_inf,alpha,lambda_star,boot_lo,boot_hi,boot_se,below_half,n_boot
RTX Pro 6000 / compile bf16,36,0.0935,0.5378,0.2689,0.2387,0.3710,0.0321,1,2000
RTX Pro 6000 / eager amp-fp16,36,0.0981,0.6478,0.3239,0.2926,0.3972,0.0265,1,2000
CPU i7-12700H / compile fp32,41,0.0994,0.6546,0.3273,0.2586,0.3989,0.0335,1,2000
RTX 3090 / eager amp-fp16,37,0.0994,0.6569,0.3284,0.3119,0.3785,0.0173,1,2000
RTX 4090 / eager amp-fp16,33,0.0994,0.6876,0.3438,0.3080,0.4343,0.0336,1,2000
RTX 5090 / eager amp-fp16,34,0.0994,0.6876,0.3438,0.3189,0.4069,0.0232,1,2000
RTX 4090 / compile amp-fp16,40,0.0994,0.6879,0.3440,0.3134,0.4338,0.0309,1,2000
RTX 5090 / compile amp-fp16,42,0.0994,0.7172,0.3586,0.3330,0.4097,0.0204,1,2000
CPU ONNX / Oriented detection,6,0.1807,0.7190,0.3595,0.1760,0.6466,0.1347,0,2000
CPU ONNX / Pose estimation,6,0.2789,0.8890,0.4445,0.2847,0.5534,0.0516,0,2000
CPU i9-10940X / compile fp32,36,0.0994,0.9506,0.4753,0.3987,0.5506,0.0356,0,2000
CPU ONNX / Object detection,7,0.4316,1.0523,0.5262,0.3893,0.6564,0.0912,0,2000
