label,suite,model,task,shots,resource,n_sizes,n_front,eps_min,eps_inf,floor_lo,floor_hi,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,R2_power,S_range,x_range,d_aicc,status
Pythia v0 deduped pythia-1.4b / ARC-Easy,Pythia v0 deduped,pythia-1.4b,ARC-Easy,0,training tokens,15,13,0.556677,0.422347,1e-05,0.510426,0.2725,0.1362,0.0411,0.2121,0.0578,0.9795,0.9693,0.389,3.864,1.76,identified
Pythia v0 deduped pythia-1.4b / LAMBADA,Pythia v0 deduped,pythia-1.4b,LAMBADA,0,training tokens,15,9,0.404619,0.371721,4.1e-05,0.396883,0.5696,0.2848,0.0541,0.3769,0.0884,0.9922,0.9471,0.635,3.864,12.38,identified
Pythia v0 deduped pythia-1.4b / PIQA,Pythia v0 deduped,pythia-1.4b,PIQA,0,training tokens,15,14,0.547334,0.360208,2e-06,0.446122,0.2226,0.1113,0.0436,0.1507,0.0295,0.9938,0.9888,0.401,3.792,4.97,identified
Pythia v0 deduped pythia-1.4b / SciQ,Pythia v0 deduped,pythia-1.4b,SciQ,0,training tokens,15,7,0.176,0.155551,0.076437,0.192528,0.7278,0.3639,0.1756,0.4902,0.0836,0.996,0.9668,1.091,3.629,7.82,identified
Pythia v0 deduped pythia-12b / ARC-Easy,Pythia v0 deduped,pythia-12b,ARC-Easy,0,training tokens,15,12,0.40404,0.202029,0.038395,0.351185,0.2695,0.1347,0.0908,0.3143,0.0605,0.995,0.9911,0.622,3.864,3.11,identified
Pythia v0 deduped pythia-12b / ARC-Easy / 5-shot,Pythia v0 deduped,pythia-12b,ARC-Easy,5,training tokens,15,12,0.36532,0.189128,0.128861,0.271481,0.3102,0.1551,0.1268,0.2355,0.0378,0.9981,0.9933,0.73,3.864,11.63,identified
Pythia v0 deduped pythia-12b / LAMBADA,Pythia v0 deduped,pythia-12b,LAMBADA,0,training tokens,15,13,0.287017,0.113833,0.072783,0.249115,0.3125,0.1562,0.1354,0.3652,0.066,0.9966,0.9944,0.837,3.714,3.25,identified
Pythia v0 deduped pythia-12b / LAMBADA / 5-shot,Pythia v0 deduped,pythia-12b,LAMBADA,5,training tokens,15,13,0.297691,0.05613,0.008958,0.224233,0.2834,0.1417,0.1272,0.285,0.0544,0.9966,0.9962,0.93,3.714,-2.16,identified
Pythia v0 deduped pythia-12b / PIQA,Pythia v0 deduped,pythia-12b,PIQA,0,training tokens,15,12,0.471164,0.318976,0.128623,0.416713,0.2782,0.1391,0.0735,0.2495,0.0423,0.9898,0.9822,0.472,3.792,3.05,identified
Pythia v0 deduped pythia-12b / PIQA / 5-shot,Pythia v0 deduped,pythia-12b,PIQA,5,training tokens,14,10,0.461372,0.293487,0.031391,0.435971,0.2658,0.1329,0.0642,0.393,0.0682,0.995,0.9889,0.491,3.714,3.6,identified
Pythia v0 deduped pythia-12b / SciQ / 5-shot,Pythia v0 deduped,pythia-12b,SciQ,5,training tokens,15,7,0.065333,0.026321,0.004002,0.05855,0.6339,0.317,0.2491,0.6451,0.1149,0.9985,0.9967,1.593,3.192,-1.63,identified
Pythia v0 deduped pythia-160m / LAMBADA,Pythia v0 deduped,pythia-160m,LAMBADA,0,training tokens,15,6,0.610324,0.408507,0.078067,0.613009,0.2339,0.117,0.0528,0.8885,0.2846,0.9814,0.9773,0.293,3.192,-8.81,identified
Pythia v0 deduped pythia-160m / SciQ,Pythia v0 deduped,pythia-160m,SciQ,0,training tokens,15,9,0.296,0.272653,0.137254,0.283482,0.648,0.324,0.1002,0.4069,0.1078,0.9982,0.9391,0.63,3.864,26.88,identified
Pythia v0 deduped pythia-1b / ARC-Easy / 5-shot,Pythia v0 deduped,pythia-1b,ARC-Easy,5,training tokens,15,11,0.536476,0.392667,3e-06,0.528487,0.2242,0.1121,0.0334,0.2428,0.059,0.9739,0.9687,0.33,3.629,-1.96,identified
Pythia v0 deduped pythia-1b / LAMBADA,Pythia v0 deduped,pythia-1b,LAMBADA,0,training tokens,15,12,0.416068,0.285231,0.108902,0.407051,0.2939,0.147,0.0833,0.488,0.1112,0.9873,0.9775,0.496,3.864,3.19,identified
Pythia v0 deduped pythia-1b / LAMBADA / 5-shot,Pythia v0 deduped,pythia-1b,LAMBADA,5,training tokens,15,11,0.474093,0.372525,1.8e-05,0.452001,0.3506,0.1753,0.0458,0.5701,0.1118,0.9925,0.9766,0.478,3.864,8.52,identified
Pythia v0 deduped pythia-1b / PIQA,Pythia v0 deduped,pythia-1b,PIQA,0,training tokens,15,10,0.57889,0.484228,7e-06,0.55507,0.3041,0.152,0.0327,0.2734,0.0631,0.9859,0.9704,0.33,3.864,3.15,identified
Pythia v0 deduped pythia-1b / PIQA / 5-shot,Pythia v0 deduped,pythia-1b,PIQA,5,training tokens,15,10,0.56148,0.249076,3e-06,0.506224,0.1316,0.0658,0.0357,0.1673,0.0386,0.9869,0.986,0.328,3.792,-3.67,identified
Pythia v0 deduped pythia-1b / SciQ,Pythia v0 deduped,pythia-1b,SciQ,0,training tokens,15,9,0.164,0.119388,0.0117,0.176978,0.4405,0.2202,0.0969,0.7781,0.1902,0.9869,0.9739,0.844,3.629,1.42,identified
Pythia v0 deduped pythia-1b / SciQ / 5-shot,Pythia v0 deduped,pythia-1b,SciQ,5,training tokens,15,12,0.106667,0.098292,0.005067,0.10989,0.7456,0.3728,0.1101,0.4284,0.103,0.9953,0.9552,1.267,3.864,23.47,identified
Pythia v0 deduped pythia-2.8b / ARC-Easy / 5-shot,Pythia v0 deduped,pythia-2.8b,ARC-Easy,5,training tokens,15,14,0.424804,0.275272,5e-06,0.366447,0.2868,0.1434,0.0557,0.2538,0.0434,0.9956,0.9877,0.551,3.864,10.94,identified
Pythia v0 deduped pythia-2.8b / LAMBADA,Pythia v0 deduped,pythia-2.8b,LAMBADA,0,training tokens,15,12,0.328546,0.23281,0.097255,0.295696,0.3846,0.1923,0.0941,0.3361,0.0573,0.9974,0.9832,0.702,3.864,18.78,identified
Pythia v0 deduped pythia-2.8b / LAMBADA / 5-shot,Pythia v0 deduped,pythia-2.8b,LAMBADA,5,training tokens,15,11,0.35979,0.226368,0.023361,0.275672,0.3492,0.1746,0.0874,0.2079,0.0318,0.9971,0.9898,0.719,3.714,9.95,identified
Pythia v0 deduped pythia-2.8b / PIQA,Pythia v0 deduped,pythia-2.8b,PIQA,0,training tokens,15,12,0.504896,0.184167,0.037735,0.473319,0.1474,0.0737,0.0545,0.3761,0.0873,0.9942,0.9934,0.384,3.864,-2.1,identified
Pythia v0 deduped pythia-2.8b / PIQA / 5-shot,Pythia v0 deduped,pythia-2.8b,PIQA,5,training tokens,15,11,0.487486,0.325169,8.3e-05,0.472768,0.2425,0.1212,0.0511,0.404,0.0803,0.9867,0.9809,0.445,3.864,0.09,identified
Pythia v0 deduped pythia-2.8b / SciQ / 5-shot,Pythia v0 deduped,pythia-2.8b,SciQ,5,training tokens,15,8,0.068,0.053704,0.016039,0.068994,0.6917,0.3458,0.1762,1.0989,0.2096,0.9938,0.9743,1.396,3.792,5.72,identified
Pythia v0 deduped pythia-410m / ARC-Easy,Pythia v0 deduped,pythia-410m,ARC-Easy,0,training tokens,15,10,0.650953,0.599228,0.384378,0.645702,0.4313,0.2156,0.0658,0.5107,0.1163,0.9947,0.9571,0.263,3.629,16.56,identified
Pythia v0 deduped pythia-410m / PIQA,Pythia v0 deduped,pythia-410m,PIQA,0,training tokens,15,11,0.639826,0.545615,4e-06,0.616075,0.2629,0.1314,0.025,0.2142,0.0499,0.9844,0.972,0.246,3.714,2.53,identified
Pythia v0 deduped pythia-410m / SciQ,Pythia v0 deduped,pythia-410m,SciQ,0,training tokens,15,9,0.253333,0.25308,3e-06,0.267715,0.9876,0.4938,0.0533,0.6534,0.1599,0.9936,0.9068,0.84,3.714,19.36,identified
Pythia v0 deduped pythia-6.9b / ARC-Easy,Pythia v0 deduped,pythia-6.9b,ARC-Easy,0,training tokens,15,13,0.439393,0.216759,0.042562,0.328265,0.2256,0.1128,0.0706,0.1866,0.031,0.9975,0.995,0.525,3.792,5.7,identified
Pythia v0 deduped pythia-6.9b / ARC-Easy / 5-shot,Pythia v0 deduped,pythia-6.9b,ARC-Easy,5,training tokens,15,13,0.392256,0.186489,0.069524,0.304048,0.2629,0.1314,0.0913,0.2316,0.0561,0.9961,0.9927,0.644,3.864,4.52,identified
Pythia v0 deduped pythia-6.9b / LAMBADA,Pythia v0 deduped,pythia-6.9b,LAMBADA,0,training tokens,15,15,0.307588,0.204941,0.055295,0.222916,0.4254,0.2127,0.1104,0.2435,0.051,0.9982,0.9852,0.866,3.864,28.46,identified
Pythia v0 deduped pythia-6.9b / LAMBADA / 5-shot,Pythia v0 deduped,pythia-6.9b,LAMBADA,5,training tokens,15,14,0.328352,0.144675,0.013432,0.174568,0.3287,0.1643,0.1096,0.1799,0.0184,0.9981,0.995,0.876,3.864,10.53,identified
Pythia v0 deduped pythia-6.9b / PIQA,Pythia v0 deduped,pythia-6.9b,PIQA,0,training tokens,15,10,0.489662,0.287687,0.099195,0.473768,0.2335,0.1167,0.0736,0.4322,0.1212,0.9901,0.9856,0.439,3.792,-0.57,identified
Pythia v0 deduped pythia-6.9b / PIQA / 5-shot,Pythia v0 deduped,pythia-6.9b,PIQA,5,training tokens,14,11,0.4679,0.15349,0.015501,0.44907,0.1656,0.0828,0.0631,0.4057,0.1137,0.9869,0.9862,0.458,3.864,-3.32,identified
Pythia v0 deduped pythia-6.9b / SciQ,Pythia v0 deduped,pythia-6.9b,SciQ,0,training tokens,15,6,0.129333,0.047043,0.015805,0.127062,0.4088,0.2044,0.1699,1.2372,0.2668,0.9871,0.9849,1.081,3.714,-9.07,identified
